district_id,district_name,fiscal_year,enrollment,total_revenue,instructional_expenditures,admin_expenditures,total_expenditures,spending_per_student,admin_overhead_ratio,state_code
0512570,SOUTH SIDE SCHOOL DISTRICT,2019,536,7839000.0,4085000,2558000,7498000,13988.81,0.6262,AR
0512630,SPRING HILL SCHOOL DISTRICT,2019,589,6155000.0,3224000,1808000,6195000,10517.83,0.5608,AR
0512660,SPRINGDALE SCHOOL DISTRICT,2019,23470,259506000.0,138865000,81150000,270055000,11506.39,0.5844,AR
0512930,STRONG-HUTTIG SCHOOL DISTRICT,2019,304,4246000.0,2424000,1531000,4270000,14046.05,0.6316,AR
0512960,STUTTGART SCHOOL DISTRICT,2019,1600,17488000.0,8450000,5982000,16572000,10357.5,0.7079,AR
0513080,GREENE CO. TECH SCHOOL DIST.,2019,3844,38672000.0,19847000,13238000,36211000,9420.14,0.667,AR
0513110,TEXARKANA SCHOOL DISTRICT,2019,4070,51585000.0,24391000,19105000,60290000,14813.27,0.7833,AR
0513230,JACKSON CO. SCHOOL DISTRICT,2019,950,9710000.0,4964000,3130000,9770000,10284.21,0.6305,AR
0513350,VALLEY SPRINGS SCHOOL DISTRICT,2019,885,9521000.0,4396000,3293000,14009000,15829.38,0.7491,AR
0513380,VALLEY VIEW SCHOOL DISTRICT,2019,2965,31032000.0,16841000,8834000,29555000,9967.96,0.5246,AR
0513410,VAN BUREN SCHOOL DISTRICT,2019,5737,66097000.0,31852000,19510000,66557000,11601.36,0.6125,AR
0513530,VILONIA SCHOOL DISTRICT,2019,3160,31063000.0,16435000,10744000,31395000,9935.13,0.6537,AR
0513560,VIOLA SCHOOL DISTRICT,2019,357,4515000.0,2594000,1393000,4355000,12198.88,0.537,AR
0513680,WALDRON SCHOOL DISTRICT,2019,1573,16233000.0,9032000,5267000,15872000,10090.27,0.5831,AR
0513930,WATSON CHAPEL SCHOOL DISTRICT,2019,2233,25029000.0,10865000,11205000,23776000,10647.56,1.0313,AR
0514010,WEST FORK SCHOOL DISTRICT,2019,1044,11239000.0,4999000,3700000,10863000,10405.17,0.7401,AR
0514020,WESTSIDE SCHOOL DISTRICT,2019,637,7283000.0,3585000,2268000,6649000,10437.99,0.6326,AR
0514040,WEST SIDE SCHOOL DISTRICT,2019,485,8348000.0,3659000,2317000,8143000,16789.69,0.6332,AR
0514140,WHITE HALL SCHOOL DISTRICT,2019,2970,30474000.0,14985000,10194000,28164000,9482.83,0.6803,AR
0514370,WONDERVIEW SCHOOL DISTRICT,2019,473,5312000.0,2918000,1519000,4990000,10549.68,0.5206,AR
0514400,WOODLAWN SCHOOL DISTRICT,2019,555,5475000.0,2942000,1741000,5587000,10066.67,0.5918,AR
0514430,WYNNE SCHOOL DISTRICT,2019,2635,26952000.0,14922000,8562000,25899000,9828.84,0.5738,AR
0514490,YELLVILLE-SUMMIT SCHOOL DIST.,2019,907,9987000.0,4525000,3255000,9011000,9934.95,0.7193,AR
